	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
298	62478630	brifter	0	2.6e-05	sortante
299	110830886	Nourriture	0	2.6e-05	sortante
300	120336073	prise d'aliment	0	2.6e-05	sortante
301	120610815	ingéré	0	2.6e-05	sortante
302	121106988	phénomène	0	2.6e-05	sortante
303	236123700	détériorer	0	2.6e-05	sortante
304	236123704	ronger&gt;14338	0	2.6e-05	sortante
305	365382328	herbe	0	2.6e-05	sortante
306	367359719	bonbon	0	2.6e-05	sortante
307	366530201	pâtes	0	2.6e-05	sortante
308	366530316	pizza	0	2.6e-05	sortante
309	368118095	malbouffe	0	2.6e-05	sortante
310	368757137	riz	0	2.6e-05	sortante
311	925755	brouter	0	2.7e-05	sortante
312	925778	triturer	0	2.7e-05	sortante
313	925783	ravitailler	0	2.7e-05	sortante
314	1540865	fourchette&gt;152067	0	2.7e-05	sortante
315	3203283	dîner&gt;130164	0	2.7e-05	sortante
316	3203284	digestion	0	2.7e-05	sortante
317	8401911	fruits	0	2.7e-05	sortante
318	12305598	becqueter	0	2.7e-05	sortante
319	12305600	bâfrer	0	2.7e-05	sortante
320	72755248	égrapiller&gt;51160	0	2.7e-05	sortante
321	100036971	besoin alimentaire	0	2.7e-05	sortante
322	54311156	se gorger	0	2.7e-05	sortante
323	54311161	prendre	0	2.7e-05	sortante
324	54311194	ruiner	0	2.7e-05	sortante
325	54311202	briffer	0	2.7e-05	sortante
326	54311222	se lester	0	2.7e-05	sortante
327	54311224	se refaire	0	2.7e-05	sortante
328	54311225	tordre	0	2.7e-05	sortante
329	54311227	bredouiller	0	2.7e-05	sortante
330	54311228	brichetonner	0	2.7e-05	sortante
331	54311230	décolorer	0	2.7e-05	sortante
332	54440043	diné	0	2.7e-05	sortante
333	54688022	pitance	0	2.7e-05	sortante
334	85923215	usa	0	2.7e-05	sortante
335	98605676	Manger	0	2.7e-05	sortante
336	98820146	paitre	0	2.7e-05	sortante
337	925761	dessiner	0	2.8e-05	sortante
338	925766	lire	0	2.8e-05	sortante
339	925775	mastiquer	0	2.8e-05	sortante
340	925776	broyer	0	2.8e-05	sortante
341	925782	sustenter	0	2.8e-05	sortante
342	9102748	mastiquer&gt;56105	0	2.8e-05	sortante
343	9102749	dévorer&gt;130164	0	2.8e-05	sortante
344	12305604	casser la graine	0	2.8e-05	sortante
345	72755216	égrapiller&gt;73117	0	2.8e-05	sortante
346	54311199	se remplir	0	2.8e-05	sortante
347	54311205	pignocher	0	2.8e-05	sortante
348	54311212	tâter	0	2.8e-05	sortante
349	85924310	savourée	0	2.8e-05	sortante
350	97143089	dépense&gt;144916	0	2.8e-05	sortante
351	120336063	consommation d'aliment	0	2.8e-05	sortante
352	120336081	consommation alimentaire	0	2.8e-05	sortante
353	120336090	mangers	0	2.8e-05	sortante
354	190406067	=eat=	0	2.8e-05	sortante
355	925753	mordiller	0	2.9e-05	sortante
356	925777	écraser	0	2.9e-05	sortante
357	3203286	boulimie	0	2.9e-05	sortante
358	9102751	souper&gt;130164	0	2.9e-05	sortante
359	9102752	gâteau	0	2.9e-05	sortante
360	11983601	manducation	0	2.9e-05	sortante
361	12193890	se sustenter	0	2.9e-05	sortante
362	12305595	se restaurer	0	2.9e-05	sortante
363	12344458	mess	0	2.9e-05	sortante
364	96362355	ressource alimentaire	0	2.9e-05	sortante
365	54311160	user	0	2.9e-05	sortante
366	54311216	faner	0	2.9e-05	sortante
